Algorithm,InputSize,InputType,Time_ns
MergeSort,1000,Random,539500
QuickSort,1000,Random,777400
DeterministicSelect,1000,Random,625100
MergeSort,1000,Sorted,567800
QuickSort,1000,Sorted,219700
DeterministicSelect,1000,Sorted,344200
MergeSort,1000,Reverse-sorted,203000
QuickSort,1000,Reverse-sorted,127400
DeterministicSelect,1000,Reverse-sorted,172400
MergeSort,1000,Duplicate-heavy,118200
QuickSort,1000,Duplicate-heavy,605300
DeterministicSelect,1000,Duplicate-heavy,801900
MergeSort,10000,Random,1801300
QuickSort,10000,Random,1430300
DeterministicSelect,10000,Random,1584300
MergeSort,10000,Sorted,1116300
QuickSort,10000,Sorted,536600
DeterministicSelect,10000,Sorted,829500
MergeSort,10000,Reverse-sorted,4848600
QuickSort,10000,Reverse-sorted,642800
DeterministicSelect,10000,Reverse-sorted,3171800
MergeSort,10000,Duplicate-heavy,1994700
QuickSort,10000,Duplicate-heavy,9077500
DeterministicSelect,10000,Duplicate-heavy,20715200
MergeSort,100000,Random,12305100
QuickSort,100000,Random,10727700
DeterministicSelect,100000,Random,5054600
MergeSort,100000,Sorted,2857700
QuickSort,100000,Sorted,4700600
DeterministicSelect,100000,Sorted,1836000
MergeSort,100000,Reverse-sorted,3624800
QuickSort,100000,Reverse-sorted,5007400
DeterministicSelect,100000,Reverse-sorted,2030700
MergeSort,100000,Duplicate-heavy,6387100
QuickSort,100000,Duplicate-heavy,611652000
ClosestPair,1000,Random,4228400
ClosestPair,10000,Random,14517300
ClosestPair,100000,Random,142654300
